IA,Adair,49947,54324,61765,18,8.8,13.7,19
IA,Adams,56104,53550,62223,16,-4.6,16.2,6
IA,Allamakee,47182,49538,53807,66,5.0,8.6,63
IA,Appanoose,39600,43053,46396,95,8.7,7.8,69
IA,Audubon,50982,53279,62773,13,4.5,17.8,1
IA,Benton,54238,57560,63072,12,6.1,9.6,47
IA,Black Hawk,45649,48983,51911,73,7.3,6.0,87
IA,Boone,48103,51104,54521,63,6.2,6.7,85
IA,Bremer,50742,54062,57876,38,6.5,7.1,79
IA,Buchanan,49864,52527,57200,47,5.3,8.9,58
IA,Buena Vista,42807,45550,49006,88,6.4,7.6,71
IA,Butler,46956,49855,57604,42,6.2,15.5,12
IA,Calhoun,47897,50233,57289,45,4.9,14.0,17
IA,Carroll,52526,54851,60290,26,4.4,9.9,44
IA,Cass,47870,50517,55056,61,5.5,9.0,54
IA,Cedar,54246,56933,63197,10,5.0,11.0,36
IA,Cerro Gordo,50012,53478,56955,52,6.9,6.5,86
IA,Cherokee,55059,56063,61661,19,1.8,10.0,43
IA,Chickasaw,55454,58687,64737,7,5.8,10.3,38
IA,Clarke,39227,42923,45292,96,9.4,5.5,92
IA,Clay,50798,54344,59187,31,7.0,8.9,57
IA,Clayton,51664,55732,59656,27,7.9,7.0,80
IA,Clinton,45194,48420,52308,71,7.1,8.0,66
IA,Crawford,43143,45659,51690,75,5.8,13.2,23
IA,Dallas,67860,70341,73673,1,3.7,4.7,98
IA,Davis,39716,41318,44337,98,4.0,7.3,75
IA,Decatur,35998,38817,42171,99,7.8,8.6,62
IA,Delaware,49412,52538,57097,48,6.3,8.7,61
IA,Des Moines,50450,53254,56425,56,5.6,6.0,88
IA,Dickinson,61429,63560,69628,2,3.5,9.5,48
IA,Dubuque,50370,53684,56782,53,6.6,5.8,90
IA,Emmet,44863,45761,51890,74,2.0,13.4,22
IA,Fayette,44047,47074,51226,79,6.9,8.8,59
IA,Floyd,47223,49861,56044,57,5.6,12.4,30
IA,Franklin,47999,50950,59466,29,6.1,16.7,3
IA,Fremont,49423,53171,59090,32,7.6,11.1,35
IA,Greene,48302,52189,58799,34,8.0,12.7,26
IA,Grundy,51873,55698,62531,14,7.4,12.3,31
IA,Guthrie,52384,57366,63098,11,9.5,10.0,42
IA,Hamilton,51007,50276,58126,37,-1.4,15.6,11
IA,Hancock,51271,52914,61201,22,3.2,15.7,10
IA,Hardin,48055,49955,56678,54,4.0,13.5,21
IA,Harrison,46305,48857,55468,59,5.5,13.5,20
IA,Henry,42438,45033,49117,87,6.1,9.1,53
IA,Howard,47764,51067,58411,35,6.9,14.4,15
IA,Humboldt,49608,51870,56985,50,4.6,9.9,45
IA,Ida,51541,57586,65824,4,11.7,14.3,16
IA,Iowa,53104,56741,62485,15,6.8,10.1,41
IA,Jackson,45647,49345,53777,67,8.1,9.0,55
IA,Jasper,43206,46341,50190,85,7.3,8.3,65
IA,Jefferson,47875,50955,55900,58,6.4,9.7,46
IA,Johnson,54734,57009,59592,28,4.2,4.5,99
IA,Jones,45074,48104,51576,76,6.7,7.2,76
IA,Keokuk,45012,48468,52878,69,7.7,9.1,52
IA,Kossuth,50626,52736,60595,24,4.2,14.9,14
IA,Lee,42384,45316,48394,90,6.9,6.8,84
IA,Linn,53212,56373,59294,30,5.9,5.2,95
IA,Louisa,43840,45420,50885,80,3.6,12.0,32
IA,Lucas,41923,44451,47774,93,6.0,7.5,73
IA,Lyon,56964,56596,61551,20,-0.6,8.8,60
IA,Madison,50472,53555,57263,46,6.1,6.9,82
IA,Mahaska,43318,45828,49933,86,5.8,9.0,56
IA,Marion,50249,53316,56989,49,6.1,6.9,83
IA,Marshall,43213,47059,50776,82,8.9,7.9,68
IA,Mills,59887,61481,66042,3,2.7,7.4,74
IA,Mitchell,63627,58720,63605,8,-7.7,8.3,64
IA,Monona,46043,49494,57720,40,7.5,16.6,4
IA,Monroe,46202,49319,52821,70,6.7,7.1,78
IA,Montgomery,41310,44375,48436,89,7.4,9.2,51
IA,Muscatine,48011,50326,53861,65,4.8,7.0,81
IA,O'Brien,53495,55875,61882,17,4.4,10.8,37
IA,Osceola,48717,48976,55063,60,0.5,12.4,28
IA,Page,42502,47231,52069,72,11.1,10.2,39
IA,Palo Alto,51403,49216,56973,51,-4.3,15.8,9
IA,Plymouth,55352,56761,63214,9,2.5,11.4,33
IA,Pocahontas,51094,49941,57640,41,-2.3,15.4,13
IA,Polk,54144,57947,60799,23,7.0,4.9,97
IA,Pottawattamie,45147,47935,51370,77,6.2,7.2,77
IA,Poweshiek,45330,49442,53996,64,9.1,9.2,50
IA,Ringgold,48483,51565,57317,44,6.4,11.2,34
IA,Sac,57210,56444,65620,5,-1.3,16.3,5
IA,Scott,54281,57360,60349,25,5.7,5.2,93
IA,Shelby,51643,54408,61414,21,5.4,12.9,25
IA,Sioux,52420,54716,57558,43,4.4,5.2,94
IA,Story,43682,45618,47923,92,4.4,5.1,96
IA,Tama,45708,51211,58311,36,12.0,13.9,18
IA,Taylor,43591,46861,54870,62,7.5,17.1,2
IA,Union,41442,43838,48291,91,5.8,10.2,40
IA,Van Buren,40622,42312,47655,94,4.2,12.6,27
IA,Wapello,39029,42551,44912,97,9.0,5.5,91
IA,Warren,52136,54617,57847,39,4.8,5.9,89
IA,Washington,60809,59627,65299,6,-1.9,9.5,49
IA,Wayne,42092,45248,50859,81,7.5,12.4,29
IA,Webster,45717,47734,51331,78,4.4,7.5,72
IA,Winnebago,41580,44867,50769,83,7.9,13.2,24
IA,Winneshiek,50096,54556,58872,33,8.9,7.9,67
IA,Woodbury,43943,46975,50607,84,6.9,7.7,70
IA,Worth,41759,45956,53342,68,10.1,16.1,8
