ND,Adams,48914,57099,57586,48,16.7,0.9,46
ND,Barnes,55652,63045,66463,30,13.3,5.4,30
ND,Benson,39623,49406,55282,50,24.7,11.9,12
ND,Billings,79623,83228,92571,1,4.5,11.2,14
ND,Bottineau,60713,68775,69935,27,13.3,1.7,42
ND,Bowman,68487,69660,77069,11,1.7,10.6,15
ND,Burke,73848,75228,72515,22,1.9,-3.6,52
ND,Burleigh,60474,62746,66017,32,3.8,5.2,32
ND,Cass,58233,61736,65803,34,6.0,6.6,27
ND,Cavalier,63525,90480,88700,2,42.4,-2.0,51
ND,Dickey,61984,68779,73312,17,11.0,6.6,26
ND,Divide,58643,65123,66208,31,11.0,1.7,43
ND,Dunn,74483,73707,80976,5,-1.0,9.9,17
ND,Eddy,57092,69336,72571,21,21.4,4.7,34
ND,Emmons,48876,64339,72883,19,31.6,13.3,10
ND,Foster,58655,73729,75732,14,25.7,2.7,40
ND,Golden Valley,39094,44263,52279,52,13.2,18.1,6
ND,Grand Forks,51236,55175,58132,47,7.7,5.4,31
ND,Grant,43268,54801,57313,49,26.7,4.6,35
ND,Griggs,55402,68358,73012,18,23.4,6.8,25
ND,Hettinger,48588,59125,58160,46,21.7,-1.6,50
ND,Kidder,53808,66782,74589,16,24.1,11.7,13
ND,LaMoure,60029,70840,72712,20,18.0,2.6,41
ND,Logan,50471,60170,68365,28,19.2,13.6,9
ND,McHenry,55062,62880,72140,25,14.2,14.7,7
ND,McIntosh,59208,70439,80675,6,19.0,14.5,8
ND,McKenzie,70441,66159,72258,24,-6.1,9.2,18
ND,McLean,59239,64151,76889,12,8.3,19.9,4
ND,Mercer,58481,60817,65113,36,4.0,7.1,23
ND,Morton,52389,55406,58630,45,5.8,5.8,29
ND,Mountrail,68215,68259,72419,23,0.1,6.1,28
ND,Nelson,58823,71728,70971,26,21.9,-1.1,47
ND,Oliver,45448,52046,63441,39,14.5,21.9,3
ND,Pembina,58341,71085,75974,13,21.8,6.9,24
ND,Pierce,48230,56319,66733,29,16.8,18.5,5
ND,Ramsey,49856,56950,59490,44,14.2,4.5,36
ND,Ransom,54832,60122,64827,37,9.6,7.8,20
ND,Renville,69861,79383,78282,10,13.6,-1.4,49
ND,Richland,50104,53248,59919,42,6.3,12.5,11
ND,Rolette,41420,48719,52939,51,17.6,8.7,19
ND,Sargent,62204,68049,74799,15,9.4,9.9,16
ND,Sheridan,48090,61315,78328,9,27.5,27.7,2
ND,Sioux,29160,35078,36445,53,20.3,3.9,38
ND,Slope,48921,62170,80270,8,27.1,29.1,1
ND,Stark,63393,61563,62553,40,-2.9,1.6,44
ND,Steele,64659,87451,86280,3,35.2,-1.3,48
ND,Stutsman,52206,59353,61388,41,13.7,3.4,39
ND,Towner,58502,86111,80665,7,47.2,-6.3,53
ND,Traill,54988,64735,65364,35,17.7,1.0,45
ND,Walsh,50715,61427,65961,33,21.1,7.4,22
ND,Ward,55233,57047,59893,43,3.3,5.0,33
ND,Wells,58274,76369,82108,4,31.1,7.5,21
