OR,Baker,41127,44857,48107,31,9.1,7.2,27
OR,Benton,47290,50628,54174,13,7.1,7.0,29
OR,Clackamas,62194,66419,71504,2,6.8,7.7,23
OR,Clatsop,45253,49063,52250,21,8.4,6.5,31
OR,Columbia,45762,49273,53573,15,7.7,8.7,7
OR,Coos,46736,51557,55759,10,10.3,8.2,18
OR,Crook,43670,47093,50708,25,7.8,7.7,22
OR,Curry,45002,48934,53044,16,8.7,8.4,15
OR,Deschutes,58666,63872,67743,4,8.9,6.1,34
OR,Douglas,42488,46948,50595,26,10.5,7.8,21
OR,Gilliam,55635,64369,63645,7,15.7,-1.1,36
OR,Grant,42841,47602,50870,24,11.1,6.9,30
OR,Harney,40504,44912,49257,29,10.9,9.7,4
OR,Hood River,55537,60167,65127,6,8.3,8.2,17
OR,Jackson,47774,52410,56842,8,9.7,8.5,12
OR,Jefferson,36078,39948,43145,34,10.7,8.0,19
OR,Josephine,44048,49062,54466,12,11.4,11.0,1
OR,Klamath,40236,44133,48050,32,9.7,8.9,6
OR,Lake,40872,44274,47066,33,8.3,6.3,32
OR,Lane,46752,51272,55146,11,9.7,7.6,24
OR,Lincoln,45542,48876,52482,20,7.3,7.4,26
OR,Linn,44501,48357,52695,18,8.7,9.0,5
OR,Malheur,32651,35489,38923,36,8.7,9.7,3
OR,Marion,44921,49022,53791,14,9.1,9.7,2
OR,Morrow,46189,48990,51670,22,6.1,5.5,35
OR,Multnomah,59993,64858,70331,3,8.1,8.4,13
OR,Polk,43012,45835,49781,28,6.6,8.6,10
OR,Sherman,55593,63097,67558,5,13.5,7.1,28
OR,Tillamook,45064,48609,51643,23,7.9,6.2,33
OR,Umatilla,40364,44604,48439,30,10.5,8.6,11
OR,Union,42107,46076,50053,27,9.4,8.6,8
OR,Wallowa,44689,48880,52999,17,9.4,8.4,14
OR,Wasco,43622,48355,52527,19,10.9,8.6,9
OR,Washington,62493,66270,71537,1,6.0,7.9,20
OR,Wheeler,36225,39648,42637,35,9.4,7.5,25
