AL,Autauga County,54571,58805
AL,Baldwin County,182265,231767
AL,Barbour County,27457,25223
AL,Bibb County,22915,22293
AL,Blount County,57322,59134
AL,Bullock County,10914,10357
AL,Butler County,20947,19051
AL,Calhoun County,118572,116441
AL,Chambers County,34215,34772
AL,Cherokee County,25989,24971
AL,Chilton County,43643,45014
AL,Choctaw County,13859,12665
AL,Clarke County,25833,23087
AL,Clay County,13932,14236
AL,Cleburne County,14972,15056
AL,Coffee County,49948,53465
AL,Colbert County,54428,57227
AL,Conecuh County,13228,11597
AL,Coosa County,11539,10387
AL,Covington County,37765,37570
AL,Crenshaw County,13906,13194
AL,Cullman County,80406,87866
AL,Dale County,50251,49326
AL,Dallas County,43820,38462
AL,DeKalb County,71109,71608
AL,Elmore County,79303,87977
AL,Escambia County,38319,36757
AL,Etowah County,104430,103436
AL,Fayette County,17241,16321
AL,Franklin County,31704,32113
AL,Geneva County,26790,26659
AL,Greene County,9045,7730
AL,Hale County,15760,14785
AL,Henry County,17302,17146
AL,Houston County,101547,107202
AL,Jackson County,53227,52579
AL,Jefferson County,658466,674721
AL,Lamar County,14564,13972
AL,Lauderdale County,92709,93564
AL,Lawrence County,34339,33073
AL,Lee County,140247,174241
AL,Limestone County,82782,103570
AL,Lowndes County,11299,10311
AL,Macon County,21452,19532
AL,Madison County,334811,388153
AL,Marengo County,21027,19323
AL,Marion County,30776,29341
AL,Marshall County,93019,97612
AL,Mobile County,412992,414809
AL,Monroe County,23068,19772
AL,Montgomery County,229363,228954
AL,Morgan County,119490,123421
AL,Perry County,10591,8511
AL,Pickens County,19746,19123
AL,Pike County,32899,33009
AL,Randolph County,22913,21967
AL,Russell County,52947,59183
AL,St. Clair County,83593,91103
AL,Shelby County,195085,223024
AL,Sumter County,13763,12345
AL,Talladega County,82291,82149
AL,Tallapoosa County,41616,41311
AL,Tuscaloosa County,194656,227036
AL,Walker County,67023,65342
AL,Washington County,17581,15388
AL,Wilcox County,11670,10600
AL,Winston County,24484,23540
