CA,Alameda County,1510271,1682353
CA,Alpine County,1175,1204
CA,Amador County,38091,40474
CA,Butte County,220000,211632
CA,Calaveras County,45578,45292
CA,Colusa County,21419,21839
CA,Contra Costa County,1049025,1165927
CA,Del Norte County,28610,27743
CA,El Dorado County,181058,191185
CA,Fresno County,930450,1008654
CA,Glenn County,28122,28917
CA,Humboldt County,134623,136463
CA,Imperial County,174528,179702
CA,Inyo County,18546,19016
CA,Kern County,839631,909235
CA,Kings County,152982,152486
CA,Lake County,64665,68163
CA,Lassen County,34895,32730
CA,Los Angeles County,9818605,10014009
CA,Madera County,150865,156255
CA,Marin County,252409,262321
CA,Mariposa County,18251,17131
CA,Mendocino County,87841,91601
CA,Merced County,255793,281202
CA,Modoc County,9686,8700
CA,Mono County,14202,13195
CA,Monterey County,415057,439035
CA,Napa County,136484,138019
CA,Nevada County,98764,102241
CA,Orange County,3010232,3186989
CA,Placer County,348432,404739
CA,Plumas County,20007,19790
CA,Riverside County,2189641,2418185
CA,Sacramento County,1418788,1585055
CA,San Benito County,55269,64209
CA,San Bernardino County,2035210,2181654
CA,San Diego County,3095313,3298634
CA,San Francisco County,805235,873965
CA,San Joaquin County,685306,779233
CA,San Luis Obispo County,269637,282424
CA,San Mateo County,718451,764442
CA,Santa Barbara County,423895,448229
CA,Santa Clara County,1781642,1936259
CA,Santa Cruz County,262382,270861
CA,Shasta County,177223,182155
CA,Sierra County,3240,3236
CA,Siskiyou County,44900,44076
CA,Solano County,413344,453491
CA,Sonoma County,483878,488863
CA,Stanislaus County,514453,552878
CA,Sutter County,94737,99633
CA,Tehama County,63463,65829
CA,Trinity County,13786,16112
CA,Tulare County,442179,473117
CA,Tuolumne County,55365,55620
CA,Ventura County,823318,843843
CA,Yolo County,200849,216403
CA,Yuba County,72155,81575
