CO,Adams County,441603,519572
CO,Alamosa County,15445,16376
CO,Arapahoe County,572003,655070
CO,Archuleta County,12084,13359
CO,Baca County,3788,3506
CO,Bent County,6499,5650
CO,Boulder County,294567,330758
CO,Broomfield County,55889,74112
CO,Chaffee County,17809,19476
CO,Cheyenne County,1836,1748
CO,Clear Creek County,9088,9397
CO,Conejos County,8256,7461
CO,Costilla County,3524,3499
CO,Crowley County,5823,5922
CO,Custer County,4255,4704
CO,Delta County,30952,31196
CO,Denver County,600158,715522
CO,Dolores County,2064,2326
CO,Douglas County,285465,357978
CO,Eagle County,52197,55731
CO,Elbert County,23086,26062
CO,El Paso County,622263,730395
CO,Fremont County,46824,48939
CO,Garfield County,56389,61685
CO,Gilpin County,5441,5808
CO,Grand County,14843,15717
CO,Gunnison County,15324,16918
CO,Hinsdale County,843,788
CO,Huerfano County,6711,6820
CO,Jackson County,1394,1379
CO,Jefferson County,534543,582910
CO,Kiowa County,1398,1446
CO,Kit Carson County,8270,7087
CO,Lake County,7310,7436
CO,La Plata County,51334,55638
CO,Larimer County,299630,359066
CO,Las Animas County,15507,14555
CO,Lincoln County,5467,5675
CO,Logan County,22709,21528
CO,Mesa County,146723,155703
CO,Mineral County,712,865
CO,Moffat County,13795,13292
CO,Montezuma County,25535,25849
CO,Montrose County,41276,42679
CO,Morgan County,28159,29111
CO,Otero County,18831,18690
CO,Ouray County,4436,4874
CO,Park County,16206,17390
CO,Phillips County,4442,4530
CO,Pitkin County,17148,17358
CO,Prowers County,12551,11999
CO,Pueblo County,159063,168162
CO,Rio Blanco County,6666,6529
CO,Rio Grande County,11982,11539
CO,Routt County,23509,24829
CO,Saguache County,6108,6368
CO,San Juan County,699,705
CO,San Miguel County,7359,8072
CO,Sedgwick County,2379,2404
CO,Summit County,27994,31055
CO,Teller County,23350,24710
CO,Washington County,4814,4817
CO,Weld County,252825,328981
CO,Yuma County,10043,9988
