IN,Adams County,34387,35809
IN,Allen County,355329,385410
IN,Bartholomew County,76794,82208
IN,Benton County,8854,8719
IN,Blackford County,12766,12112
IN,Boone County,56640,70812
IN,Brown County,15242,15475
IN,Carroll County,20155,20306
IN,Cass County,38966,37870
IN,Clark County,110232,121093
IN,Clay County,26890,26466
IN,Clinton County,33224,33190
IN,Crawford County,10713,10526
IN,Daviess County,31648,33381
IN,Dearborn County,50047,50679
IN,Decatur County,25740,26472
IN,DeKalb County,42223,43265
IN,Delaware County,117671,111903
IN,Dubois County,41889,43637
IN,Elkhart County,197559,207047
IN,Fayette County,24277,23398
IN,Floyd County,74578,80484
IN,Fountain County,17240,16479
IN,Franklin County,23087,22785
IN,Fulton County,20836,20480
IN,Gibson County,33503,33011
IN,Grant County,70061,66674
IN,Greene County,33165,30803
IN,Hamilton County,274569,347467
IN,Hancock County,70002,79840
IN,Harrison County,39364,39654
IN,Hendricks County,145448,174788
IN,Henry County,49462,48914
IN,Howard County,82752,83658
IN,Huntington County,37124,36662
IN,Jackson County,42376,46428
IN,Jasper County,33478,32918
IN,Jay County,21253,20478
IN,Jefferson County,32428,33147
IN,Jennings County,28525,27613
IN,Johnson County,139654,161765
IN,Knox County,38440,36282
IN,Kosciusko County,77358,80240
IN,LaGrange County,37128,40446
IN,Lake County,496005,498700
IN,LaPorte County,111467,112417
IN,Lawrence County,46134,45011
IN,Madison County,131636,130129
IN,Marion County,903393,977203
IN,Marshall County,47051,46095
IN,Martin County,10334,9812
IN,Miami County,36903,35962
IN,Monroe County,137974,139718
IN,Montgomery County,38124,37936
IN,Morgan County,68894,71780
IN,Newton County,14244,13830
IN,Noble County,47536,47457
IN,Ohio County,6128,5940
IN,Orange County,19840,19867
IN,Owen County,21575,21321
IN,Parke County,17339,16156
IN,Perry County,19338,19170
IN,Pike County,12845,12250
IN,Porter County,164343,173215
IN,Posey County,25910,25222
IN,Pulaski County,13402,12514
IN,Putnam County,37963,36726
IN,Randolph County,26171,24502
IN,Ripley County,28818,28995
IN,Rush County,17392,16752
IN,St. Joseph County,266931,272912
IN,Scott County,24181,24384
IN,Shelby County,44436,45055
IN,Spencer County,20952,19810
IN,Starke County,23363,23371
IN,Steuben County,34185,34435
IN,Sullivan County,21475,20817
IN,Switzerland County,10613,9737
IN,Tippecanoe County,172780,186251
IN,Tipton County,15936,15359
IN,Union County,7516,7087
IN,Vanderburgh County,179703,180136
IN,Vermillion County,16212,15439
IN,Vigo County,107848,106153
IN,Wabash County,32888,30976
IN,Warren County,8508,8440
IN,Warrick County,59689,63898
IN,Washington County,28262,28182
IN,Wayne County,68917,66553
IN,Wells County,27636,28180
IN,White County,24643,24688
IN,Whitley County,33292,34191
