ND,Adams County,2343,2200
ND,Barnes County,11066,10853
ND,Benson County,6660,5964
ND,Billings County,783,945
ND,Bottineau County,6429,6379
ND,Bowman County,3151,2993
ND,Burke County,1968,2201
ND,Burleigh County,81308,98458
ND,Cass County,149778,184525
ND,Cavalier County,3993,3704
ND,Dickey County,5289,4999
ND,Divide County,2071,2195
ND,Dunn County,3536,4095
ND,Eddy County,2385,2347
ND,Emmons County,3550,3301
ND,Foster County,3343,3397
ND,Golden Valley County,1680,1736
ND,Grand Forks County,66861,73170
ND,Grant County,2394,2301
ND,Griggs County,2420,2306
ND,Hettinger County,2477,2489
ND,Kidder County,2435,2394
ND,LaMoure County,4139,4093
ND,Logan County,1990,1876
ND,McHenry County,5395,5345
ND,McIntosh County,2809,2530
ND,McKenzie County,6360,14704
ND,McLean County,8962,9771
ND,Mercer County,8424,8350
ND,Morton County,27471,33291
ND,Mountrail County,7673,9809
ND,Nelson County,3126,3015
ND,Oliver County,1846,1877
ND,Pembina County,7413,6844
ND,Pierce County,4357,3990
ND,Ramsey County,11451,11605
ND,Ransom County,5457,5703
ND,Renville County,2470,2282
ND,Richland County,16321,16529
ND,Rolette County,13937,12187
ND,Sargent County,3829,3862
ND,Sheridan County,1321,1265
ND,Sioux County,4153,3898
ND,Slope County,727,706
ND,Stark County,24199,33646
ND,Steele County,1975,1798
ND,Stutsman County,21100,21593
ND,Towner County,2246,2162
ND,Traill County,8121,7997
ND,Walsh County,11119,10563
ND,Ward County,61675,69919
ND,Wells County,4207,3982
ND,Williams County,22398,40950
