OR,Baker County,16134,16668
OR,Benton County,85579,95184
OR,Clackamas County,375992,421401
OR,Clatsop County,37039,41072
OR,Columbia County,49351,52589
OR,Coos County,63043,64929
OR,Crook County,20978,24738
OR,Curry County,22364,23446
OR,Deschutes County,157733,198253
OR,Douglas County,107667,111201
OR,Gilliam County,1871,1995
OR,Grant County,7445,7233
OR,Harney County,7422,7495
OR,Hood River County,22346,23977
OR,Jackson County,203206,223259
OR,Jefferson County,21720,24502
OR,Josephine County,82713,88090
OR,Klamath County,66380,69413
OR,Lake County,7895,8160
OR,Lane County,351715,382971
OR,Lincoln County,46034,50395
OR,Linn County,116672,128610
OR,Malheur County,31313,31571
OR,Marion County,315335,345920
OR,Morrow County,11173,12186
OR,Multnomah County,735334,815428
OR,Polk County,75403,87433
OR,Sherman County,1765,1870
OR,Tillamook County,25250,27390
OR,Umatilla County,75889,80075
OR,Union County,25748,26196
OR,Wallowa County,7008,7391
OR,Wasco County,25213,26670
OR,Washington County,529710,600372
OR,Wheeler County,1441,1451
OR,Yamhill County,99193,107722
