SC,Abbeville County,25417,24295
SC,Aiken County,160099,168808
SC,Allendale County,10419,8039
SC,Anderson County,187126,203718
SC,Bamberg County,15987,13311
SC,Barnwell County,22621,20589
SC,Beaufort County,162233,187117
SC,Berkeley County,177843,229861
SC,Calhoun County,15175,14119
SC,Charleston County,350209,408235
SC,Cherokee County,55342,56216
SC,Chester County,33140,32294
SC,Chesterfield County,46734,43273
SC,Clarendon County,34971,31144
SC,Colleton County,38892,38604
SC,Darlington County,68681,62905
SC,Dillon County,32062,28292
SC,Dorchester County,136555,161540
SC,Edgefield County,26985,25657
SC,Fairfield County,23956,20948
SC,Florence County,136885,137059
SC,Georgetown County,60158,63404
SC,Greenville County,451225,525534
SC,Greenwood County,69661,69351
SC,Hampton County,21090,18561
SC,Horry County,269291,351029
SC,Jasper County,24777,28791
SC,Kershaw County,61697,65403
SC,Lancaster County,76652,96016
SC,Laurens County,66537,67539
SC,Lee County,19220,16531
SC,Lexington County,262391,293991
SC,McCormick County,10233,9526
SC,Marion County,33062,29183
SC,Marlboro County,28933,26667
SC,Newberry County,37508,37719
SC,Oconee County,74273,78607
SC,Orangeburg County,92501,84223
SC,Pickens County,119224,131404
SC,Richland County,384504,416147
SC,Saluda County,19875,18862
SC,Spartanburg County,284307,327997
SC,Sumter County,107456,105556
SC,Union County,28961,27244
SC,Williamsburg County,34423,31026
SC,York County,226073,282090
